Date,Price
2023-05-19 10:43:00+00:00,939
2023-05-19 22:52:24+00:00,939
2023-05-20 11:01:48+00:00,914
2023-05-20 23:11:12+00:00,914
2023-05-21 11:20:36+00:00,914
2023-05-21 23:30:00+00:00,914
2023-05-22 11:39:24+00:00,914
2023-05-22 23:48:48+00:00,1028
2023-05-23 11:58:12+00:00,1145
2023-05-24 00:07:36+00:00,1145
2023-05-24 12:17:00+00:00,1145
2023-05-25 00:26:24+00:00,1000
2023-05-25 12:35:48+00:00,1000
2023-05-26 00:45:12+00:00,1000
2023-05-26 12:54:36+00:00,1000
2023-05-27 01:04:00+00:00,1000
2023-05-27 13:13:24+00:00,1079
2023-05-28 01:22:48+00:00,1001
2023-05-28 13:32:12+00:00,1054
2023-05-29 01:41:36+00:00,1054
2023-05-29 13:51:00+00:00,1054
2023-05-30 02:00:24+00:00,1054
2023-05-30 14:09:48+00:00,1054
2023-05-31 02:19:12+00:00,1054
2023-05-31 14:28:36+00:00,1054
2023-06-01 02:38:00+00:00,1054
2023-06-01 14:47:24+00:00,950
2023-06-02 02:56:48+00:00,950
2023-06-02 15:06:12+00:00,950
2023-06-03 03:15:36+00:00,950
2023-06-03 15:25:00+00:00,1011
2023-06-04 03:34:24+00:00,1212
2023-06-04 15:43:48+00:00,1212
2023-06-05 03:53:12+00:00,1212
2023-06-05 16:02:36+00:00,1212
2023-06-06 04:12:00+00:00,1156
2023-06-06 16:21:24+00:00,1096
2023-06-07 04:30:48+00:00,1096
2023-06-07 16:40:12+00:00,1096
2023-06-08 04:49:36+00:00,1096
2023-06-08 16:59:00+00:00,1096
2023-06-09 05:08:24+00:00,1096
2023-06-09 17:17:48+00:00,1096
2023-06-10 05:27:12+00:00,1096
2023-06-10 17:36:36+00:00,1051
2023-06-11 05:46:00+00:00,1051
2023-06-11 17:55:24+00:00,1051
2023-06-12 06:04:48+00:00,1051
2023-06-12 18:14:12+00:00,1051
2023-06-13 06:23:36+00:00,1051
2023-06-13 18:33:00+00:00,1051
2023-06-14 06:42:24+00:00,1051
2023-06-14 18:51:48+00:00,1051
2023-06-15 07:01:12+00:00,1051
2023-06-15 19:10:36+00:00,1051
2023-06-16 07:20:00+00:00,1051
2023-06-16 19:29:24+00:00,959
2023-06-17 07:38:48+00:00,952
2023-06-17 19:48:12+00:00,1005
2023-06-18 07:57:36+00:00,1005
2023-06-18 20:07:00+00:00,1005
2023-06-19 08:16:24+00:00,1051
2023-06-19 20:25:48+00:00,1051
2023-06-20 08:35:12+00:00,1051
2023-06-20 20:44:36+00:00,987
2023-06-21 08:54:00+00:00,1036
2023-06-21 21:03:24+00:00,1049
2023-06-22 09:12:48+00:00,1049
2023-06-22 21:22:12+00:00,1036
2023-06-23 09:31:36+00:00,1047
2023-06-23 21:41:00+00:00,1051
2023-06-24 09:50:24+00:00,1051
2023-06-24 21:59:48+00:00,1051
2023-06-25 10:09:12+00:00,1051
2023-06-25 22:18:36+00:00,1051
2023-06-26 10:28:00+00:00,1111
2023-06-26 22:37:24+00:00,1111
2023-06-27 10:46:48+00:00,1111
2023-06-27 22:56:12+00:00,1111
2023-06-28 11:05:36+00:00,1111
2023-06-28 23:15:00+00:00,1107
2023-06-29 11:24:24+00:00,1120
2023-06-29 23:33:48+00:00,1120
2023-06-30 11:43:12+00:00,1120
2023-06-30 23:52:36+00:00,1094
2023-07-01 12:02:00+00:00,1094
2023-07-02 00:11:24+00:00,1094
2023-07-02 12:20:48+00:00,1185
2023-07-03 00:30:12+00:00,1188
2023-07-03 12:39:36+00:00,1215
2023-07-04 00:49:00+00:00,1245
2023-07-04 12:58:24+00:00,1245
2023-07-05 01:07:48+00:00,1245
2023-07-05 13:17:12+00:00,1245
2023-07-06 01:26:36+00:00,1359
2023-07-06 13:36:00+00:00,1359
2023-07-07 01:45:24+00:00,1359
2023-07-07 13:54:48+00:00,1188
2023-07-08 02:04:12+00:00,1188
2023-07-08 14:13:36+00:00,1188
2023-07-09 02:23:00+00:00,1188
2023-07-09 14:32:24+00:00,1194
2023-07-10 02:41:48+00:00,1194
2023-07-10 14:51:12+00:00,1147
2023-07-11 03:00:36+00:00,1147
2023-07-11 15:10:00+00:00,1147
2023-07-12 03:19:24+00:00,1147
2023-07-12 15:28:48+00:00,1520
2023-07-13 03:38:12+00:00,1520
2023-07-13 15:47:36+00:00,1520
2023-07-14 03:57:00+00:00,1520
2023-07-14 16:06:24+00:00,1520
2023-07-15 04:15:48+00:00,1520
2023-07-15 16:25:12+00:00,1192
2023-07-16 04:34:36+00:00,1192
2023-07-16 16:44:00+00:00,1192
2023-07-17 04:53:24+00:00,1192
2023-07-17 17:02:48+00:00,1034
2023-07-18 05:12:12+00:00,1034
2023-07-18 17:21:36+00:00,1034
2023-07-19 05:31:00+00:00,1326
2023-07-19 17:40:24+00:00,1326
2023-07-20 05:49:48+00:00,1326
2023-07-20 17:59:12+00:00,1326
2023-07-21 06:08:36+00:00,1326
2023-07-21 18:18:00+00:00,1326
2023-07-22 06:27:24+00:00,1188
2023-07-22 18:36:48+00:00,1188
2023-07-23 06:46:12+00:00,1188
2023-07-23 18:55:36+00:00,1188
2023-07-24 07:05:00+00:00,1188
2023-07-24 19:14:24+00:00,1188
2023-07-25 07:23:48+00:00,1188
2023-07-25 19:33:12+00:00,1188
2023-07-26 07:42:36+00:00,1188
2023-07-26 19:52:00+00:00,1188
2023-07-27 08:01:24+00:00,1188
2023-07-27 20:10:48+00:00,1188
2023-07-28 08:20:12+00:00,1188
2023-07-28 20:29:36+00:00,1188
2023-07-29 08:39:00+00:00,1188
2023-07-29 20:48:24+00:00,1188
2023-07-30 08:57:48+00:00,987
2023-07-30 21:07:12+00:00,1115
2023-07-31 09:16:36+00:00,1115
2023-07-31 21:26:00+00:00,1115
2023-08-01 09:35:24+00:00,1501
2023-08-01 21:44:48+00:00,1501
2023-08-02 09:54:12+00:00,1501
2023-08-02 22:03:36+00:00,1501
2023-08-03 10:13:00+00:00,990
2023-08-03 22:22:24+00:00,990
2023-08-04 10:31:48+00:00,990
2023-08-04 22:41:12+00:00,990
2023-08-05 10:50:36+00:00,990
2023-08-05 23:00:00+00:00,990
2023-08-06 11:09:24+00:00,990
2023-08-06 23:18:48+00:00,990
2023-08-07 11:28:12+00:00,990
2023-08-07 23:37:36+00:00,990
2023-08-08 11:47:00+00:00,990
2023-08-09 00:00:00+00:00,0
2023-08-09 12:04:42+00:00,1498
2023-08-10 00:09:24+00:00,1498
2023-08-10 12:14:06+00:00,1498
2023-08-11 00:18:48+00:00,1498
2023-08-11 12:23:30+00:00,1498
2023-08-12 00:28:12+00:00,1498
2023-08-12 12:32:54+00:00,1498
2023-08-13 00:37:36+00:00,1498
2023-08-13 12:42:18+00:00,1498
2023-08-14 00:47:00+00:00,1498
2023-08-14 12:51:42+00:00,1498
2023-08-15 00:56:24+00:00,1498
2023-08-15 13:01:06+00:00,1498
2023-08-16 01:05:48+00:00,1498
2023-08-16 13:10:30+00:00,1498
2023-08-17 01:15:12+00:00,1498
2023-08-17 13:19:54+00:00,1146
2023-08-18 01:24:36+00:00,1146
2023-08-18 13:29:18+00:00,1146
2023-08-19 01:34:00+00:00,1146
2023-08-19 13:38:42+00:00,1146
2023-08-20 01:43:24+00:00,1142
2023-08-20 13:48:06+00:00,1142
2023-08-21 01:52:48+00:00,1142
2023-08-21 13:57:30+00:00,1142
2023-08-22 02:02:12+00:00,1485
2023-08-22 14:06:54+00:00,1485
2023-08-23 02:11:36+00:00,1485
2023-08-23 14:16:18+00:00,1485
2023-08-24 02:21:00+00:00,1485
2023-08-24 14:25:42+00:00,1485
2023-08-25 02:30:24+00:00,1114
2023-08-25 14:35:06+00:00,1114
2023-08-26 02:39:48+00:00,1114
2023-08-26 14:44:30+00:00,1114
2023-08-27 02:49:12+00:00,1114
2023-08-27 14:53:54+00:00,1114
2023-08-28 02:58:36+00:00,1114
2023-08-28 15:03:18+00:00,1114
2023-08-29 03:08:00+00:00,1114
2023-08-29 15:12:42+00:00,1114
2023-08-30 03:17:24+00:00,1260
2023-08-30 15:22:06+00:00,1260
2023-08-31 03:26:48+00:00,1260
2023-08-31 15:31:30+00:00,1260
2023-09-01 03:36:12+00:00,1338
2023-09-01 15:40:54+00:00,1338
2023-09-02 03:45:36+00:00,1023
2023-09-02 15:50:18+00:00,1023
2023-09-03 03:55:00+00:00,1023
2023-09-03 15:59:42+00:00,1023
2023-09-04 04:04:24+00:00,1023
2023-09-04 16:09:06+00:00,1023
2023-09-05 04:13:48+00:00,1023
2023-09-05 16:18:30+00:00,1023
2023-09-06 04:23:12+00:00,1023
2023-09-06 16:27:54+00:00,1023
2023-09-07 04:32:36+00:00,1023
2023-09-07 16:37:18+00:00,1187
2023-09-08 04:42:00+00:00,1187
2023-09-08 16:46:42+00:00,1187
2023-09-09 04:51:24+00:00,1187
2023-09-09 16:56:06+00:00,1187
2023-09-10 05:00:48+00:00,1187
2023-09-10 17:05:30+00:00,1187
2023-09-11 05:10:12+00:00,1187
2023-09-11 17:14:54+00:00,1187
2023-09-12 05:19:36+00:00,1187
2023-09-12 17:24:18+00:00,1187
2023-09-13 05:29:00+00:00,1022
2023-09-13 17:33:42+00:00,1022
2023-09-14 05:38:24+00:00,1022
2023-09-14 17:43:06+00:00,1022
2023-09-15 05:47:48+00:00,1022
2023-09-15 17:52:30+00:00,1022
2023-09-16 05:57:12+00:00,1022
2023-09-16 18:01:54+00:00,1022
2023-09-17 06:06:36+00:00,1022
2023-09-17 18:11:18+00:00,1022
2023-09-18 06:16:00+00:00,1022
2023-09-18 18:20:42+00:00,1022
2023-09-19 06:25:24+00:00,1022
2023-09-19 18:30:06+00:00,1022
2023-09-20 06:34:48+00:00,1022
2023-09-20 18:39:30+00:00,1022
2023-09-21 06:44:12+00:00,1022
2023-09-21 18:48:54+00:00,1022
2023-09-22 06:53:36+00:00,1060
2023-09-22 18:58:18+00:00,1060
2023-09-23 07:03:00+00:00,1060
2023-09-23 19:07:42+00:00,1060
2023-09-24 07:12:24+00:00,1060
2023-09-24 19:17:06+00:00,1060
2023-09-25 07:21:48+00:00,1169
2023-09-25 19:26:30+00:00,1169
2023-09-26 07:31:12+00:00,1169
2023-09-26 19:35:54+00:00,1169
2023-09-27 07:40:36+00:00,1169
2023-09-27 19:45:18+00:00,1169
2023-09-28 07:50:00+00:00,1096
2023-09-28 19:54:42+00:00,1096
2023-09-29 07:59:24+00:00,1322
2023-09-29 20:04:06+00:00,1322
2023-09-30 08:08:48+00:00,1322
2023-09-30 20:13:30+00:00,1322
2023-10-01 08:18:12+00:00,964
2023-10-01 20:22:54+00:00,964
2023-10-02 08:27:36+00:00,964
2023-10-02 20:32:18+00:00,964
2023-10-03 08:37:00+00:00,964
2023-10-03 20:41:42+00:00,964
2023-10-04 08:46:24+00:00,964
2023-10-04 20:51:06+00:00,964
2023-10-05 08:55:48+00:00,964
2023-10-05 21:00:30+00:00,964
2023-10-06 09:05:12+00:00,964
2023-10-06 21:09:54+00:00,964
2023-10-07 09:14:36+00:00,964
2023-10-07 21:19:18+00:00,964
2023-10-08 09:24:00+00:00,964
2023-10-08 21:28:42+00:00,964
2023-10-09 09:33:24+00:00,1029
2023-10-09 21:38:06+00:00,1027
2023-10-10 09:42:48+00:00,1027
2023-10-10 21:47:30+00:00,1027
2023-10-11 09:52:12+00:00,1027
2023-10-11 21:56:54+00:00,1346
2023-10-12 10:01:36+00:00,1169
2023-10-12 22:06:18+00:00,1169
2023-10-13 10:11:00+00:00,1338
2023-10-13 22:15:42+00:00,1338
2023-10-14 10:20:24+00:00,1338
2023-10-14 22:25:06+00:00,1338
2023-10-15 10:29:48+00:00,1338
2023-10-15 22:34:30+00:00,1338
2023-10-16 10:39:12+00:00,1338
2023-10-16 22:43:54+00:00,1338
2023-10-17 10:48:36+00:00,1338
2023-10-17 22:53:18+00:00,1338
2023-10-18 10:58:00+00:00,1338
2023-10-18 23:02:42+00:00,1338
2023-10-19 11:07:24+00:00,1338
2023-10-19 23:12:06+00:00,1338
2023-10-20 11:16:48+00:00,1338
2023-10-20 23:21:30+00:00,1338
2023-10-21 11:26:12+00:00,1338
2023-10-21 23:30:54+00:00,1338
2023-10-22 11:35:36+00:00,1338
2023-10-22 23:40:18+00:00,1338
2023-10-23 11:45:00+00:00,1338
2023-10-23 23:49:42+00:00,1338
2023-10-24 11:54:24+00:00,1338
2023-10-24 23:59:06+00:00,1338
2023-10-25 12:03:48+00:00,1338
2023-10-26 00:08:30+00:00,1338
2023-10-26 12:13:12+00:00,1338
2023-10-27 00:17:54+00:00,1338
2023-10-27 12:22:36+00:00,1338
2023-10-28 00:27:18+00:00,1338
2023-10-28 12:32:00+00:00,1338
2023-10-29 00:36:42+00:00,1338
2023-10-29 12:41:24+00:00,1338
2023-10-30 00:46:06+00:00,1338
2023-10-30 12:50:48+00:00,1338
2023-10-31 00:55:30+00:00,1338
2023-10-31 13:00:12+00:00,1338
2023-11-01 01:04:54+00:00,1338
2023-11-01 13:09:36+00:00,1338
2023-11-02 01:14:18+00:00,1338
2023-11-02 13:19:00+00:00,1178
2023-11-03 01:23:42+00:00,1178
2023-11-03 13:28:24+00:00,1178
2023-11-04 01:33:06+00:00,1178
2023-11-04 13:37:48+00:00,934
2023-11-05 01:42:30+00:00,934
2023-11-05 13:47:12+00:00,934
2023-11-06 01:51:54+00:00,934
2023-11-06 13:56:36+00:00,934
2023-11-07 02:01:18+00:00,934
2023-11-07 14:06:00+00:00,934
2023-11-08 02:10:42+00:00,934
2023-11-08 14:15:24+00:00,934
2023-11-09 02:20:06+00:00,934
2023-11-09 14:24:48+00:00,934
2023-11-10 02:29:30+00:00,1261
2023-11-10 14:34:12+00:00,1261
2023-11-11 02:38:54+00:00,1261
2023-11-11 14:43:36+00:00,1261
2023-11-12 02:48:18+00:00,1261
2023-11-12 14:53:00+00:00,1261
2023-11-13 02:57:42+00:00,1261
2023-11-13 15:02:24+00:00,1261
2023-11-14 03:07:06+00:00,1261
2023-11-14 15:11:48+00:00,937
2023-11-15 03:16:30+00:00,937
2023-11-15 15:21:12+00:00,937
2023-11-16 03:25:54+00:00,937
2023-11-16 15:30:36+00:00,937
2023-11-17 03:35:18+00:00,937
2023-11-17 15:40:00+00:00,937
2023-11-18 03:44:42+00:00,937
2023-11-18 15:49:24+00:00,927
2023-11-19 03:54:06+00:00,927
2023-11-19 15:58:48+00:00,927
2023-11-20 04:03:30+00:00,927
2023-11-20 16:08:12+00:00,927
2023-11-21 04:12:54+00:00,927
2023-11-21 16:17:36+00:00,927
2023-11-22 04:22:18+00:00,927
2023-11-22 16:27:00+00:00,927
2023-11-23 04:31:42+00:00,927
2023-11-23 16:36:24+00:00,1051
2023-11-24 04:41:06+00:00,1142
2023-11-24 16:45:48+00:00,1142
2023-11-25 04:50:30+00:00,1142
2023-11-25 16:55:12+00:00,1142
2023-11-26 04:59:54+00:00,1142
2023-11-26 17:04:36+00:00,1142
2023-11-27 05:09:18+00:00,1162
2023-11-27 17:14:00+00:00,1162
2023-11-28 05:18:42+00:00,1162
2023-11-28 17:23:24+00:00,1162
2023-11-29 05:28:06+00:00,1162
2023-11-29 17:32:48+00:00,1162
2023-11-30 05:37:30+00:00,1162
2023-11-30 17:42:12+00:00,1162
2023-12-01 05:46:54+00:00,1246
2023-12-01 17:51:36+00:00,1246
2023-12-02 05:56:18+00:00,1246
2023-12-02 18:01:00+00:00,1096
2023-12-03 06:05:42+00:00,1096
2023-12-03 18:10:24+00:00,1096
2023-12-04 06:15:06+00:00,1096
2023-12-04 18:19:48+00:00,1096
2023-12-05 06:24:30+00:00,1096
2023-12-05 18:29:12+00:00,1096
2023-12-06 06:33:54+00:00,1096
2023-12-06 18:38:36+00:00,1096
2023-12-07 06:43:18+00:00,1096
2023-12-07 18:48:00+00:00,1096
2023-12-08 06:52:42+00:00,1096
2023-12-08 18:57:24+00:00,1060
2023-12-09 07:02:06+00:00,1060
2023-12-09 19:06:48+00:00,1060
2023-12-10 07:11:30+00:00,1060
2023-12-10 19:16:12+00:00,1060
2023-12-11 07:20:54+00:00,1060
2023-12-11 19:25:36+00:00,1060
2023-12-12 07:30:18+00:00,1078
2023-12-12 19:35:00+00:00,1078
2023-12-13 07:39:42+00:00,1078
2023-12-13 19:44:24+00:00,1078
2023-12-14 07:49:06+00:00,1078
2023-12-14 19:53:48+00:00,1078
2023-12-15 07:58:30+00:00,1078
2023-12-15 20:03:12+00:00,1078
2023-12-16 08:07:54+00:00,1078
2023-12-16 20:12:36+00:00,1078
2023-12-17 08:17:18+00:00,1078
2023-12-17 20:22:00+00:00,1078
2023-12-18 08:26:42+00:00,1141
2023-12-18 20:31:24+00:00,1188
2023-12-19 08:36:06+00:00,1188
2023-12-19 20:40:48+00:00,1188
2023-12-20 08:45:30+00:00,1188
2023-12-20 20:50:12+00:00,1188
2023-12-21 08:54:54+00:00,1188
2023-12-21 20:59:36+00:00,1188
2023-12-22 09:04:18+00:00,1188
2023-12-22 21:09:00+00:00,1188
2023-12-23 09:13:42+00:00,1188
2023-12-23 21:18:24+00:00,1188
2023-12-24 09:23:06+00:00,1188
2023-12-24 21:27:48+00:00,1188
2023-12-25 09:32:30+00:00,1188
2023-12-25 21:37:12+00:00,1188
2023-12-26 09:41:54+00:00,1188
2023-12-26 21:46:36+00:00,1188
2023-12-27 09:51:18+00:00,1142
2023-12-27 21:56:00+00:00,1142
2023-12-28 10:00:42+00:00,1142
2023-12-28 22:05:24+00:00,1142
2023-12-29 10:10:06+00:00,1142
2023-12-29 22:14:48+00:00,1741
2023-12-30 10:19:30+00:00,1741
2023-12-30 22:24:12+00:00,1741
2023-12-31 10:28:54+00:00,1741
2023-12-31 22:33:36+00:00,1741
2024-01-01 10:38:18+00:00,1741
2024-01-01 22:43:00+00:00,1741
2024-01-02 10:47:42+00:00,1741
2024-01-02 22:52:24+00:00,1741
2024-01-03 10:57:06+00:00,1741
2024-01-03 23:01:48+00:00,1741
2024-01-04 11:06:30+00:00,1741
2024-01-04 23:11:12+00:00,1741
2024-01-05 11:15:54+00:00,1741
2024-01-05 23:20:36+00:00,1741
2024-01-06 11:25:18+00:00,1741
2024-01-06 23:30:00+00:00,1741
2024-01-07 11:34:42+00:00,1741
2024-01-07 23:39:24+00:00,1741
2024-01-08 11:44:06+00:00,1741
2024-01-08 23:48:48+00:00,1411
2024-01-09 11:53:30+00:00,1411
